Ryan Adams,Versions,File Type,
"7-28-2006 / Charleston, SC / Charleston Music Hall (SBD + KM140)",MTX,FLAC,
"8-1-2006 / Nashville, TN / Ryman Auditorium (martin medley)",SBD,FLAC,
"8-1-2006 / Nashville, TN / Ryman Auditorium",SBD,FLAC,
"8-2-2006 / St. Louis, MO / The Pageant (KM140) (kevin wathen)",AUD,FLAC,
"8-3-2006 / Indianapolis, IN / The Vogue (joel swaney)",SBD,FLAC,
"8-3-2006 / Indianapolis, IN / The Vogue (AKG ck63) (jon ice)",AUD,FLAC,
"8-4-2006 / Chicago, IL / Grant Park / Lollapalooza",AUD,FLAC,
"8-4-2006 / Chicago, IL / Grant Park / Lollapalooza (Panasonic WM60)",AUD,FLAC,
"9-17-2006 / Salisbury, UK / End of the Road Festival (john)",SBD,FLAC,
"9-18-2006 / London, England / Bush Hall (jamie & spot)",SBD,FLAC,
"9-19-2006 / London, UK / The Borderline (john carlin)",SBD,FLAC,
"9-24-2006 / Nottingham, UK / Rock City (john carlin)",SBD,FLAC,
"9-27-2006 / Cambridge, UK / Corn Exchange (john carlin)",SBD,FLAC,
"10-11-2006 / Oslo, Norway / Rockerfeller / RY & the Cardinals (john carlin)",SBD,FLAC,
"10-14-2006 / Malmo, Sweden / KB (ij)",SBD,FLAC,
"10-15-2006 / Berlin, Germany / Kesselhaus Kulturbrauerei",SBD,FLAC,
"10-17-2006 / Ludwigshafen, Germany / Das Haus / RA & the Cardinals (sebastian)",SBD,FLAC,
"10-23-2006 / Cork, Ireland / The Savoy (john carlin & jon carter)",SBD,FLAC,
"12-4-2006 / New York, NY / Town Hall (DPA 4027)",SBD,FLAC,
"12-4-2006 / New York, NY / Town Hall",AUD,FLAC,
"12-5-2006 / New York, NY / Town Hall ",SBD,FLAC,
"12-5-2006 / New York, NY / Town Hall (DPA 4027)",AUD,FLAC,
"12-6-2006 / New York, NY / Town Hall",SBD,FLAC,
"12-6-2006 / New York, NY / Town Hall (DPA 4027)",AUD,FLAC,
,,,
[2007],,,
"1-18-2007 / Chicago, IL / House of Blues",SBD,FLAC,
"5-15-2007 / Glenside, PA / Keswick Theater (MK-41) (edtyre)",AUD,FLAC,
"5-16-2007 / Kingston, NY / Ulster Performing Arts Center",SBD,FLAC,
"5-17-2007 / Morgantown, WV / Metropolitan Theater (jon carter)",SBD,FLAC,
"6-2-2007 / Bob Harris Country, BBC Radio 2",FM #1,FLAC,
"6-2-2007 / Jonathan Ross, BBC Radio 2",FM #2,FLAC,
"6-3-2007 / Paris, France / La Maroquinerie (wickedtongue)",SBD,FLAC,
"6-6-2007a / Gideon Coe, BBC 6 Music",FM,FLAC,
"6-6-2007 / London, England / St. Luke's Church (jon carter)",SBD,FLAC,
"6-7-2007 / Camden, London / Koko (johnc)",SBD,FLAC,
"6-7-2007 / Camden, London / Koko (CA STC11s)",AUD,FLAC,
"6-8-2007 / Manchester, UK / Manchester Academy (john c)",SBD,FLAC,
"6-15-2007 / Philadelphia, PA / World Cafe Live!",FM,FLAC,
"6-18-2007a / Minneapolis, MN / Cities 97 - Studio C",FM,FLAC,
"6-18-2007 / Minneapolis, MN / The Cedar (joel swaney)",SBD,FLAC,
"6-19-2007a / Chicago, IL / 93.1FM WXRT - Live from Studio X (scuba)",FM,FLAC,
"6-19-2007 / Chicago, IL / Victory Gardens Theater (jon carter)",MTX,FLAC,
"6-19-2007 / Chicago, IL / Victory Gardens Theater (SS DSM6)",AUD,FLAC,
"6-20-2007 / Detroit, MI / Gem Theater (joel swaney)",SBD,FLAC,
"6-21-2007 / Toronto, Ontario / The Edge Studios - 102.1 Unplugged + Interview",FM,FLAC,
"6-22-2007 / Toronto, Ontario / Enwave Theatre (david klein)",MTX,FLAC,
"6-24-2007 / South Burlington, VT / Higher Ground",SBD,FLAC 24,
"6-24-2007 / South Burlington, VT / Higher Ground (bill demars)",AUD,FLAC 24,
"6-25-2007 / New York, NY / Spectrum - Sirius",FM,FLAC,
"6-26-2007 / New York, NY / Hiro Ballroom (rosebud)",SBD,FLAC,
"6-28-2007 / Philadelphia, PA / TLA",SBD,FLAC 24,
"6-29-2007 / Somerville, MA / Somerville Theatre (bill demars)",SBD,FLAC 24,
"6-29-2007 / Somerville, MA / Somerville Theatre (bill demars)",AUD,FLAC 24,
"7-11-2007 / Louisville, KY / Brown Theater (brent stober)",SBD,FLAC,
"7-12-2007 / Germantown, TN / Germantown Performing Arts Center (jon carter)",SBD,FLAC,
"7-14-2007 / Austin, TX / Paramount Theater (mk sheikh)",SBD,FLAC,
"7-19-2007 / Los Angeles, CA / The Wilshire (jon carter)",SBD,FLAC,
"7-21-2007 / Santa Cruz, CA / The Catalyst",SBD,FLAC,
"7-23-2007 / San Francisco, CA / Herbst Theater (bruce wegman)",SBD,FLAC,
"7-23-2007 / San Francisco, CA / Herbst Theater (bruce wegman)",SBD,FLAC,
"7-24-2007 / Berkeley, CA / Berkeley Community Theater (bruce wagman)",SBD,FLAC,
"7-26-2007 / Portland, OR / Aladdin Theater (kevin wathen)",SBD,FLAC,
"7-27-2007 / Seattle, WA / Moore Theatre (kevin wathen)",SBD,FLAC,
"7-29-2007 / Vancouver, BC / Commodore Theater (jon carter)",SBD,FLAC,
"7-30-2007 / Boise, ID / Big Easy (kevin wathen)",SBD,FLAC,
