The Flaming Lips,Versions,File Type
"10-9-2024 / San Francisco, CA / Chase Center (Schoeps MK4) (loughney)",AUD,FLAC 24
"10-11-2024 / Inglewood, CA / Intuit Dome (DPA 4081) (faninor)",AUD,FLAC 24
,,
[2025],,
"2-1-2025 / Melbourne, Australia / Festival Hall (Zoom H1n) (claire laura fredriksson) ",AUD,FLAC 24
"4-25-2025 / Birmingham, UK / Academy (DPA 4060s) (unk)",AUD,FLAC
4-28-2025 / Dublin. IRE / 3Olympia Theatre (Zoom H1n) (unk),AUD,FLAC
"6-4-2025 / Cologne, Germany / E-Werk (Zoom H5) (wannerl) ",AUD,FLAC
,,
[MISC],,
The Flaming Lips - At War With The Mystics (Instrumentals),,FLAC
The Flaming Lips - Clouds Taste Metallic 1995 Unmastered Tracks,,FLAC
The Flaming Lips - Fearless Freaks Bootleg,Promo,FLAC
The Flaming Lips - Hit To Death In The Future Head Demos,,FLAC
The Flaming Lips - I Want To Become The Aurora Borealis [RTW-043],Silver CD,FLAC
"Flaming Lips, the - Trippy Lip Shtick {HR6053-0} (1995)",Silver CD,FLAC
The Flaming Lips - Jonathon Ross On Radio 2,FM,FLAC
The Flaming Lips - March Of A 1000 Flaming Skeletons,,FLAC
The Flaming Lips - Mushroom Demos & Priest Demos,,FLAC
The Flaming Lips - Okie Noodling,,FLAC
The Flaming Lips - Soft Bulletin Companion_v1.shnf,,FLAC
The Flaming Lips - Soft Bulletin Companion_v2.shnf,,FLAC
The Flaming Lips - Sweet Jesus [TOR 16],,FLAC
The Flaming Lips - Transmissions From The Satellite Heart 1993 Unmastered Tracks,,FLAC
The Flaming Lips - Waterbugs (In Studio Demo Tape),,FLAC
The Flaming Lips - YBTPR (instrumental version),,FLAC
The Flaming Lips - Yoshimi Listening Party CD [SHN],,FLAC
The Flaming Lips - Yoshimi Wins! - Live Radio Sessions SHN,Promo,FLAC
The Flaming Lips - Zaireeka and 1997-98 Soft Bulletin Unmastered Tracks,,FLAC
I Am Not On Drugs...Yet (Compliation),,DVD
Circuit 3 - Spontaneous Composition in Oklahoma Room #3 (in A minor),,FLAC
Duck Dodgers - Theme Song,,FLAC
Duck Dodgers Promo CD,Silver CD,FLAC
Imagene Peise Atlas Eets Christmas [RTW-044],Silver CD,FLAC
Zero to a Million (single track),,FLAC
Yoshimi Battles The Pink Robots (Instrumental Version CD),,FLAC
BBC 6 Music Interviews and Sessions,WEB,SHN
The Flaming Lips - KCRW Studios - Morning Becomes Eclectic *Brave New World,FM,FLAC
Documentary - Boombox Experiment,,MOV
Documentary - Parking Lot Experiment,,MPG
Documentary - The Flaming Lips Have Landed A Documentary,,FLV
