Jimi Hendrix,Versions,File Type,
Cosmis Turnaround,Vinyl,FLAC,
Crash Landing - Bob Terry Tape #18,,FLAC,
Crash Landing (Unreleased Version) - Watch Tower,,FLAC,
Cry of Love (Low Vocal Mixes),,FLAC,
Dante's Inferno,,FLAC,
De Lane Lea Demos and Olympic Cuts,,FLAC,
Drone Blues,,FLAC,
Echo Tape,,FLAC,
Electric Gypsy's,,FLAC,
Electric Ladyland Outtakes,,FLAC,
European Broadcasts 1966/6,,FLAC,
Eyes and Imagination,,FLAC,
Fighting for Freedom...For Everybody,,FLAC,
Flyer LP (2012),,,
First Rays of the New Rising Sun (Reconstruction),,FLAC,
Freak Out Jam,,FLAC,
It's Only A Paper Moon,,FLAC,
Jazz Stuff,,SHN,
Jimi Hendrix Concert Reviews (1967-1970),,DOC,
Jimi - By Himself (1968),,SHN,
Midnight Lightning,SBD,FLAC,
Recording Session Outtakes 1966-67 - Vol 1-4,,FLAC,
Recording Session Outtakes 1969 - Vol 1-7,,FLAC,
Recording Session Outtakes 1970 - Vol 1-6,,FLAC,
Complete 1969 Studio Sessions (15CD),,FLAC,
Jimi Hendrix - 1967-XX-XX - Opus Live In Europe 1967 (AV201801) (3CD),Silver CD,FLAC,
Jimi Hendrix - The Electric Lady Studio Recordings {WT 2001049},Silver CD,FLAC,
Jimi & Larry Young - Record Plant Sessions 1969,,FLAC,
Laughing Dice (Documentary) DVD,VHS,DVD,
Ladyland In Flames (1968-1969),,FLAC,
Ludes,,FLAC,
Public Saxaphone - Vol. 1,,SHN,
Voodoo Child Sessions (Record Plant in NY),,FLAC,
Sweeping Up the Pieces of Yesterday's Life Vol 1-3 (8CD),,FLAC,
Philharmonic Plus,,FLAC,
Jimi Hendrix - In the Studio 1967-1970 (Volumes 1-10) *Reclamation,,FLAC,
Jimi Hendrix - Soundboard Series 1 (1967-68),,FLAC,
Jimi Hendrix - Strate Ahead: Unreleased Album (1970),,FLAC,
Jimi Hendrix - Sessions - And You'll Never Hear Surf Music Again (Scorpio 2008),,FLAC,
"Jimi Hendrix - 1985-02-XX - Pasadena, CA Documentary (ht december)",FM,FLAC,
Swedish Flood Volumes 1-7,,FLAC,
Unsurpassed Masters (Studio Reels) 5CD,,FLAC,
