Counting Crows,Versions,File Type,
"8-31-1997 / Minneapolis, MN / Target Center *Staring at the Sun",AUD,FLAC,
"8-31-1997 / Minneapolis, MN / Target Center *Staring at the Sun (FTU-008) (unk)",AUD,DVD,
"9-3-1997 / Calgary, Alberta / Unknown Venue (unk)",AUD,FLAC,
"9-19-1997 / Devore, CA / Blockbuster Pavilion",AUD,FLAC,
"9-19-1997 / Devore, CA / Blockbuster Pavilion (FTU-001)",PRO,DVD,
"9-21-1997 / Mountain View, CA / Shoreline Amphitheater",AUD,FLAC,
"9-23-1997 / Los Angeles, CA / Greek Theater (unk)",AUD,FLAC,
"9-27-1997 / Concord, CA / Concord Pavilion (unk)",AUD,FLAC,
"10-17-1997 / DeKalb, IL / Chick Evans Fieldhouse (unk)",AUD,FLAC,
"10-17-1997 / DeKalb, IL / Chick Evans Fieldhouse",AUD,DVD,
"10-20-1997 / Evanston, IL / McGaw Hall (unk)",AUD,FLAC,
"10-24-1997 / Buffalo, NY / Agri Center (unk)",AUD,FLAC,
"10-25-1997 / University Park, PA / Bryce Jordan Center",AUD,FLAC,
"10-27-1997 / Syracuse, NY / War Memorial (AKG C460s) (terry sullivan)",AUD,FLAC,
"10-29-1997 / Waltham, MA / Gosman Center Brandeis U (unk)",AUD,FLAC,
"10-30-1997 / Portland, ME / Cumberland Civic Center (unk)",AUD,FLAC,
"11-1-1997 / Amherst, MA / Mullins Center (unk)",AUD,FLAC,
"11-6-1997 / New York, NY / Hammerstein Ballroom *Live from the 10 Spot (unreleased songs)",TV,FLAC,
"11-6-1997 / New York, NY / Hammerstein Ballroom ",PRO,DVD,
"11-26-1997 / Amsterdam, The Netherlands / Two Meeter Sessies",AUD,FLAC,
"11-26-1997 / Amsterdam, The Netherlands / Two Meeter Sessies",PRO,VCD,
"11-30-1997 / Luxembourgh City, Luxembourgh / Den Atlier (unk)",AUD,FLAC,
"12-1-1997 / Utrecht, The Netherlands / Muziekcentrum Vredenburg (unk) (adamski23)",FM,FLAC,
"12-3-1997 / Brussels, Belgium / Ancienne Belgique",AUD,FLAC,
"12-4-1997 / Groningen, Holland / Oosterpoort",AUD,FLAC,
"12-6-1997 / London, England / The Forum",AUD,FLAC,
"12-8-1997 / London, England / Royal Albert Hall",AUD,FLAC,
"12-9-1997 / London, England / Royal Albert Hall",FM,FLAC,
"12-11-1997 / Newport, Wales / Newport Centre",AUD,DVD,
"12-14-1997 / Birmingham, UK / NEC",AUD,FLAC,
"12-15-1997 / Portsmouth, England / Guldhall (unk)",AUD,FLAC,
"12-17-1997 / Glasgow, Scotland / Clyde Auditorium (unk)",AUD,FLAC,
"12-19-1997 / Dublin, Ireland / Olympia Theater (unk)",AUD,FLAC,
"12-19-1997 / Dublin, Ireland / Olympia Theater (unk)",AUD,FLAC-LOSSY,
,,,
[1998],,,
"4-19-1998 / Los Angeles, CA / The Viper Room (unk)",AUD,FLAC,
"4-20-1998 / Los Angeles, CA / The Viper Room",AUD,FLAC,
7-12-1998 / Modern Rock Live FM Radio,FM,FLAC,
,,,
[1999],,,
"5-3-1999 / New Orleans, LA / Shim Sham Club - VHS(x) (unk)",AUD,FLAC,
"5-3-1999 / New Orleans, LA / Shim Sham Club - VHS(x) (unk)",AUD,DVD,
"7-6-1999 / Vancouver, Canada / Queen Elizabeth Theater (unk)",AUD,FLAC,
"7-8-1999 / Calgary, Canada / Jack Singer Hall",AUD,FLAC,
"7-11-1999 / Winnipeg, Canada / Walker Theater",AUD,FLAC,
"7-14-1999 / Kitchener, Canada / Lulu's Roadhouse (unk)",AUD,FLAC,
"7-16-1999 / Toledo, OH / Toledo Zoo",AUD,FLAC,
"7-17-1999 / Kalamazoo, MI / Kalamazoo State Theatre",AUD,FLAC,
"7-19-1999 / Sea Bright, NJ / Tradewinds (unk)",AUD,FLAC,
"7-20-1999 / Providence, RI / Lupo's Heartbreak Hotel",AUD,FLAC,
"7-22-1999 / Buffalo, NY / Sideshow Musical Hall",AUD,FLAC,
"7-24-1999 / Rome, NY / McGriffis Air Force Base / Woodstock '99",SBD,FLAC,
"7-24-1999 / Rome, NY / McGriffis Air Force Base / Woodstock '99 (unk)",PRO,DVD,
"8-4-1999 / Cape Town, SA / Bellville Velodrome (Nugs.net)",SBD,FLAC,Official Bootleg
"8-17-1999 / Boulder, CO / Fox Theatre",AUD,FLAC,
"8-17-1999 / Boulder, CO / Fox Theatre *Promo CD (INT5P-6728)",Silver CD,SHN,
"8-17-1999 / Boulder, CO / Fox Theatre *High Life Bootleg",SBD,FLAC,
"10-9-1999 / East Rutherford, NJ / Giant's Stadium - Netaid",WEB,FLAC,
"10-13-1999 / London, England / University of London Union",AUD,FLAC,
"10-16-1999 / Amsterdam, Holland / Two Meter Sessies",FM,FLAC,
"10-16-1999 / Amsterdam, Holland / Two Meter Sessies",TV,VCD,
"10-17-1999 / Amsterdam, Holland / Melkweg (3FM Radio)",FM,FLAC,
"10-18-1999 / Amsterdam, Holland / Denk Ann Henk Radio Show",FM,FLAC,
"10-19-1999 / Hamburg, Germany / Gruespan (unk)",AUD,FLAC,
"10-26-1999 / Atlanta, GA / The Tabernacle",AUD,FLAC,
10-28-1999 / Washington D.C. / 9:30 Club,AUD,FLAC,
"10-31-1999 / Boston, MA / Orpheum Theater",AUD,FLAC,
"11-3-1999 / Upper Darby, PA / Tower Theater",AUD,FLAC,
"11-4-1999 / New York, NY / NBC Studio - Late Night with Conan O'Brien",TV,FLAC,
"11-6-1999 / Boston, MA / Orpheum Theater",AUD,FLAC,
"11-7-1999 / New York, NY / Hammerstein Ballroom",AUD,FLAC,
"11-7-1999 / New York, NY / Hammerstein Ballroom (2000 Summer Sampler) (inc)",Silver CD,FLAC,
"11-9-1999 / New York, NY / Hammerstein Ballroom",AUD,FLAC,
"11-10-1999 / New York, NY / Hammerstein Ballroom",AUD,FLAC,
"11-12-1999 / Lewisburg, PA / Bucknell University",AUD,FLAC,
"11-13-1999 / Montreal, Canada / Metropolis (97.7 FM Radio Broadcast)",FM,FLAC,
"11-13-1999 / Montreal, QC / Metropolis - DAT(M) (stevemtl transfer)",FM,FLAC,
"11-15-1999 / Toronto, Canada / The Warehouse (unk)",AUD,FLAC,
"11-16-1999 / Detroit, MI / State Theater (unk)",AUD,FLAC,
"11-18-1999 / New York, NY / Ed Sullivan Theater - Late Show with David Letterman",TV,FLAC,
"11-19-1999 / Columbus, OH / Veteran's Memorial Auditorium (unk)",AUD,FLAC,
"11-21-1999 / Cleveland, OH / Cleveland Music Hall (unk)",AUD,FLAC,
"11-24-1999 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"11-26-1999 / Milwaukee, WI / Eagles Ballroom",AUD,FLAC,
"12-2-1999 / Denver, CO / Magness Arena *Blackhat",Silver CD,FLAC,
"12-2-1999 / Denver, CO / Magness Arena",FM,FLAC,
"12-2-1999 / Denver, CO / Magness Arena *Live European Summer Tour 2000 Sampler",Silver CD,FLAC,
"12-5-1999 / Las Vegas, NV / House of Blues (unk)",AUD,FLAC,
"12-6-1999 / Los Angeles, CA / Wiltern Theater (unk)",AUD,FLAC,
"12-12-1999 / San Francisco, CA / Warfield Theater (unk)",AUD,FLAC,
"12-12-1999 / San Francisco, CA / Warfield Theater + Soundcheck (CCM4) (drew)",AUD,FLAC,
"12-17-1999 / New York, NY / World Cafe WXPN",FM,FLAC,
"12-20-1999 / Los Angeles, CA / Wiltern Theater (unk)",AUD,FLAC,
"12-21-1999 / Los Angeles, CA / Wiltern Theater",AUD,FLAC,
,,,
[2000],,FLAC,
"1-18-2000 / Boston, MA / Orpheum Theater",FM,FLAC,
"1-20-2000 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"1-21-2000 / St. Louis, MO / American Theater (unk)",AUD,FLAC,
"1-23-2000 / Houston, TX / Ariel Theater",AUD,FLAC,
"1-23-2000 / Houston, TX / Ariel Theater - VHS(x) (unk)",AUD,DVD,
"1-25-2000 / Dallas, TX / Bronco Bowl (unk)",AUD,FLAC,
"1-29-2000 / San Francisco, CA / Warfield Theater",FM,FLAC,
"2-2-2000 / Seattle, WA / Moore Theater (unk)",AUD,FLAC,
"2-3-2000 / Seattle, WA / Moore Theater",AUD,FLAC,
"2-9-2000 / Burbank, CA / Tonight Show with Jay Leno",TV,FLAC,
"2-16-2000 / Glasgow, Scotland / Clyde Auditorium",AUD,FLAC,
"2-17-2000 / Newcastle, UK / City Hall (unk)",AUD,FLAC,
"2-19-2000 / London, England / Manchester Apollo",AUD,FLAC,
"2-20-2000 / Sheffield, England / City Hall (unk)",AUD,FLAC,
"2-21-2000 / London, England / XFM 104.9FM",FM,FLAC,
"2-22-2000 / London, England / Royal Albert Hall (unk)",AUD,FLAC,
"2-22-2000 / London, England / XFM 104.9FM",FM,FLAC,
"2-25-2000a / Newport, Wales / BBC Radio",FM,FLAC,
"2-25-2000b / Newport, Wales / Newport Centre",FM,FLAC,
"2-26-2000 / Bournemouth, UK / International Centre (unk)",AUD,FLAC,
"2-28-2000 / Leicester, England / De Montford Hall",AUD,FLAC,
"2-29-2000 / Wolverhampton, England / Civic Hall",AUD,FLAC,
3-XX-2000 / Holland / Interview (Toasted.nl),FM,MP3,
"3-2-2000 / London, England / The Forum",AUD,FLAC,
"3-3-2000 / London, England / The Forum (unk)",AUD,FLAC,
"3-5-2000 / Deinze, Belgium / Breilpoort (unk)",AUD,FLAC,
"3-8-2000 / Eindhoven, Holland / Frits Philips (unk)",AUD,FLAC,
"3-9-2000 / Groningen, Holland / Oosterpoort (inc)",AUD,FLAC,
"3-15-2000 / Copenhagen, Denmark / The Vega",preFM,FLAC,
"3-15-2000 / Copenhagen, Denmark / The Vega",AUD,APE,
"3-17-2000 / Berlin, Germany / Columiahalle (unk)",FM,FLAC,
"3-18-2000 / Hamburg, Germany / The Docks",AUD,FLAC,
"3-18-2000 / Hamburg, Germany / The Docks *This Is Our House",AUD,FLAC,
"3-24-2000 / Munich, Germany / Colosseum (OKM II Pro) (karsten)",AUD,FLAC,
"3-26-2000 / Zurich, Switzerland / Volkshaus",FM,FLAC,
"3-30-2000 / Dublin, Ireland / SFX",AUD,FLAC,
"3-31-2000 / Galway, Ireland / Leisureland",AUD,FLAC,
"4-2-2000 / Belfast, Ireland / Ulster Hall",AUD,FLAC,
