Soundgarden,Versions,File Type,
"5-31-2012 / Berlin, Germany / Zitadelle",AUD,FLAC,
"6-1-2012 / Nurburg, Germany / Nürburgring - Rock am Ring",TV,DVD,
"6-3-2012 / Nürnberg, Germany / Rock im Park (SP-CMC-8) (dagobert)",AUD,FLAC,
"6-7-2012 / Norje, Sweden / Sweden Rock Festival (Master)",AUD,FLAC,
"6-10-2012 / Donington, UK / Castle Donington - Download Festival (SP-CMC-8) (unk)",AUD,FLAC,
"6-10-2012 / Donington, UK / Download Festival",MTX,FLAC,
"6-10-2012 / Donington, UK / Donington Park - Download Festival (DPA 4061s) (rob)",AUD,FLAC,
"7-13-2012 / London, UK / Hyde Park",WEB,MP4,
"11-6-2012 / London, UK / Later with Jools Holland",TV,TS,
"11-13-2012 / New York, NY / Irving Plaza",AUD,FLAC,
"11-16-2012 / Toronto, Ontario / Pheonix Concert Theatre",AUD,FLAC,
"11-26-2012 / Hollywood, CA / Jimmy Kimmel Live",TV,FLAC,
"11-27-2012 / Hollywood, CA / Fonda",AUD,FLAC,
,,,
[2013],,,
"1-25-2013 / Toronto, Ontario / Sound Academy",IEM,FLAC,
"1-29-2013 / Chicago, IL / Riviera Theatre",AUD,FLAC,
"1-29-2013 / Chicago, IL / Riviera Theatre",,FLAC,
"1-30-2013 / Chicago, IL / Riviera Theatre",AUD,FLAC,
"2-1-2013 / Milwaukee, WI / Eagles Ballroom",AUD,FLAC,
"2-2-2013 / Minneapolis, MN / Orpheum Theatre",AUD,FLAC,
"2-6-2013 / Portland, OR / Arlene Schnitzer Concert Hall",AUD,FLAC 24,
"2-7-2013 / Seattle, WA / Paramount Theatre",AUD,FLAC,
"2-7-2013 / Seattle, WA / Paramount Theater  (Night 1) (Schoeps MK41 + Sennheiser EK 300) (taperbt)",MIX,FLAC,
"2-8-2013 / Seattle, WA / Paramount Theatre",MIX,FLAC 24,
"2-10-2013 / Vancouver, BC / Queen Elizabeth Theatre",AUD,FLAC,
"2-12-2013 / Oakland, CA / Fox Theater (Schoeps MK4) (daspyknows)",AUD,FLAC,
"2-12-2013 / Oakland, CA / Fox Theater (CCM4s) (not me)",AUD,FLAC,
"2-13-2013 / Oakland, CA / Fox Theater (CCM4s) (anonymous)",AUD,FLAC,
"2-15-2013 / Los Angeles, CA / The Wiltern (MK41s) (blg)",AUD,FLAC 24,
"2-15-2013 / Los Angeles, CA - The Wiltern (DPA 4061)",AUD,FLAC,
"2-16-2013 / Los Angeles, CA / The Wiltern",AUD,FLAC 24,
"2-17-2013 / Los Angeles, CA / The Wiltern (Schoeps MK41s) (blg)",AUD,FLAC,
"4-22-2013 / Royal Oak, MI / Fifth Avenue Ballroom (Acoustic in the Motor City)",FM,FLAC,
"4-23-2013 / Chicago, IL / Underground Lounge (Chris Cornell and Ben Shepherd)",AUD,FLAC,
"5-3-2013 / Atlantic City, NJ / Borgata Event Center (SP-CMC-2) (lou) ",AUD,FLAC 24,
"5-7-2013 / Atlanta, GA / The Tabernacle",AUD,FLAC,
"5-8-2013 / Atlanta, GA / The Tabernacle",AUD,FLAC,
"5-14-2013 / West Long Branch, NJ / Multipurpose Activity Center at Monmouth University",AUD,FLAC,
"5-17-2013 / Wallingford, CT / Oakdale Theatre",AUD,FLAC,
"5-18-2013 / Camden, NJ / Susquehana Bank Center",AUD,FLAC,
"5-21-2013 / St. Louis, MO / The Pageant",AUD,FLAC,
"5-25-20013 / Austin, TX / Austin Music Hall",AUD,FLAC,
"5-26-2013 / Dallas, TX / The Palladium Ballroom",AUD,FLAC 24,
"9-4-2013 / Helsinki, Finland / Hartwall Arena",AUD,FLAC,
"9-13-2013 / Manchester, England / 02 Apollo",AUD,FLAC,
"9-16-2013 / Dublin, Ireland / O2 Arena (M) (Edirol R-09HR) (unk)",AUD,FLAC,
,,,
[2014],,,
"3-3-2014 / Austin, TX / SXSW Festival",Webcast,TS,
"4-2-2014 / Buenos Aires, Argentina / Hipodromo de San Isidro - Lollapalooza",AUD,FLAC,
"4-6-2014 / Sao Paulo, Brazil / Lollapalooza",TV,TS,
"6-4-2014 / New York, NY / The Tonight Show Starring Jimmy Fallon",TV,TS,
"6-25-2014 / Stuttgart, Germany / Hanns-Martin-Schleyerhalle (MBHO KA 200)",AUD,FLAC,
"6-25-2014 / Stuttgart, Germany / Hanns-Martin-Schleyerhalle (CA-14)",AUD,FLAC,
"6-29-2014 / Dessel, Belgium / Graspop Metal Meeting - Main Stage",AUD,FLAC,
"7-4-2014 / London, England. British Summer Time 2014 - Hyde Park",AUD,FLAC,
"7-13-2014 / Montreal, Quebec / Le Metropolis",AUD,FLAC,
"7-18-2014 / Permberton, BC / Permberton Music Festival - Pemberton Stage (CA-14s) (unk)",AUD,FLAC 24,
