Sonic Youth,Versions,File Type,
"8-14-2000 / New Orleans, LA / Arena - ANA(M) (unk)",AUD,FLAC,
"8-15-2000 / Memphis, TN / Pyramid Arena (Beta98) (unk)",AUD,FLAC,
"8-16-2000 / Memphis, TN / The Last Place On Earth - DAT(M) (unk)",AUD,FLAC,
"8-20-2000 / Cincinnati, OH / Riverbend Music Center - DAT(M) (unk)",AUD,FLAC,
"8-21-2000 / Columbus, OH / Polaris Amphitheatre - DAT(M) (unk)",AUD,FLAC,
"10-19-2000 / Rio de Janeiro, Brazil / Jazz Festival",TV,FLAC,
"10-20-2000 / Sao Paulo, Brazil / Joquei Clube - VHS(x) (TV) ",PRO,MKV,
,,,
[2001],,,
"2-20-2001 / Tokyo, Japan / Akasaka Blitz - DAT(M) (Schoeps MK3) (unk)",AUD,FLAC,
"4-21-2001 / Philadelphia, PA / Trocadero (Schoeps MK IV) (unk)",AUD,FLAC,
"4-22-2001 / Syracuse, NY / Goldstein Auditorium - MD(M) (DPA 4061) (unk)",AUD,FLAC,
"5-5-2001 / Austin, TX / Stubb's (andrew fogelsong)",AUD,FLAC,
"6-7-2001 / Paris, FR / Olympia (Nugs.net)",SBD,FLAC,Official Bootleg
"6-9-2001 / Ghent, Belgium / Theaterzaal Vooruit - DAT(M) (unk)",AUD,FLAC,
"6-10-2001 / Ghent, Belgium / Vooruit - MD(x) (unk) (inc)",AUD,FLAC,
"6-17-2001 / Bologna, Italy / Parco North - DAT(M) (unk)",AUD,FLAC,
,,,
[2002],,,
"6-19-2002 / Lyon, France / Le Transbordeur - MD(M) (unk)",AUD,FLAC,
"6-20-2002 / Lille, France / Aeronef - MD(M) (m. la)",SBD,FLAC,
"6-29-2002 / Paris, France / Li Olympia (PCM-M1) (unk)",AUD,FLAC,
"7-10-2002 / Hamburg, Germany / Grofle Freiheit 36 (Aiwa CM-P11) (karsten siebert)",AUD,FLAC,
"7-11-2002 / Cologne, Germany / E-Werk - MD(M)",SBD,FLAC,
"8-3-2002 / New Orleans, LA / Tipitina's (Neumann KM184)",AUD,FLAC,
"8-5-2002 / Atlanta, GA / Variety Playhouse (unk)",AUD,DVD,
"8-10-2002 / Philadelphia, PA / The Trocadero (Gefell SMS2000) (unk)",AUD,FLAC,
"8-13-2002 / Boston, MA / WERS Studios - ANA(M) ",FM,FLAC,
"8-17-2002 / Chicago, IL / Metro (Nugs.net)",SBD,FLAC,Official Bootleg
"8-27-2002 / San Francisco, CA / The Fillmore (michael zelner)",AUD,FLAC,
"8-29-2002 / Portland, OR / Music Millennium (In-store) - DAT(M) (CSB) (mike ziegler)",AUD,FLAC,
"8-31-2002 / Vancouver, BC / Vogue Theatre - DAT(M) (unk) ",AUD,FLAC,
"11-30-2002 / New York, NY / Irving Plaza (unk)",AUD,FLAC,
,,,
[2003],,,
"2-18-2003 / Tokyo, Japan / Akasaka Blitz (Sony ECM-719)",AUD,FLAC,
"2-22-2003 / Fukuoka, Japan / Logos - DAT(M) (unk)",AUD,FLAC,
"5-7-2003 / Chicago, IL / WTTW Grainger Studio - PBS Stoundstage (HD Cable TV) ",TV,MPG,
"5-24-2003 / Barcelona, Spain / Primavera Sound Festival (Sony ECM-TS125) (unk) ",AUD,FLAC,
"6-15-2003 / Pittsburgh, PA / Three. Rivers Art Festival - DAT(M) (unk) ",AUD,FLAC,
"6-15-2003 / Pittsburgh, PA / Three River Arts Festival - Hi8(M) (unk) (andy pfeiffer) ",AUD,DVD,
"6-17-2003 / St. Louis, MO / The Pageant (unk)",AUD,FLAC,
"8-15-2003 / Chicago, IL / A. Finkl Steelyard - Goose Island Fest (unk)",AUD,FLAC,
"11-8-2003 / Long Beach, CA / The Queen Mary *All Tomorrow's Parties (DPA 4011)",AUD,FLAC,
,,,
[2004],,,
"7-13-2004 / Vancouver, BC / Commodore Ballroom (SS-DSM6) (chaz lakip)",AUD,FLAC,
"7-15-2004 / Portland, OR / Crystal Ballroom (SBD + Superlux SMK-H8K + Schoeps MK4s)",MIX,FLAC,
"7-17-2004 / San Francisco, CA / Fillmore (Gefell M300s) (m. ziegler)",AUD,FLAC,
"7-21-2004 / Tempe, AZ /  Marquee (CSB) (unk)",AUD,FLAC,
"7-30-2004 / Milwaukee, WI / The Rave (Sony ECM-MS957) (unk)",AUD,FLAC,
"8-5-2004 / Toronto, ON / Koolhaus (SP-CMC-4) (unk)",AUD,FLAC,
"8-14-2004 / Boston, MA / Avalon Ballroom (thir13en)",SBD,FLAC,
"8-19-2004 / Carrboro, NC / Cats Cradle - DAT(M) (CSB) (unk)",AUD,FLAC,
"8-20-2004 / Asheville, NC / Orange Peel (Nugs.net)",SBD,FLAC,Official Bootleg
"8-26-2004 / Geneva, Switzerland / Victoria Hall ",FM,FLAC,
"8-30-2004 / Amsterdam, The Netherlands / Paradiso (AT831s) (martin van rappard) (thir13en production)",AUD,FLAC,
,,,
[2005],,,
"3-16-2005 / Tokyo, Japan / Shibuya O-East (Sony ECM-719) (tsukasa)",AUD,FLAC,
