"9-24-2021 / Louisville, KY / Kentucky Expo Center - Louder Than Life Festival (SP-CMC-8) (porcelmc) ",AUD,FLAC,
,,,
[2022],,,
"10-8-2022 / Hollywood, FL / Hard Rock Live (Tascam DR-05X) (shaqwirk)",AUD,FLAC,
"10-8-2022 / Hollywood, FL / Hard Rock Live (IEM+Tascam DR-05X) (jd + shaqwirk)",MIX,FLAC,
"10-19-2022 / New York, NY / Madison Square Garden (inc) (Roland CS-10EM) (phideaux3) ",AUD,FLAC 24,
"10-29-2022 / Cleveland, OH / Rocket Mortgage Fieldhouse (AT853U) (charles dewey cole) ",AUD,FLAC,
"10-30-2022 / Milwaukee, WI / Fisery Forum (CA-14) (unk)",AUD,FLAC,
"11-5-2022 / Chicago, IL / United Center (AT831s) (tapeworm48)",AUD,FLAC 24,
"11-15-2022 / San Francisco, CA / Chase Center (SP-CMC-4U) (sz) ",AUD,FLAC 24,
"11-15-2022 / San Francisco, CA / Chase Center (unk)",AUD,FLAC,
"11-16-2022 / Anaheim, CA / Honda Center (DPA 4081) (faninor)",AUD,FLAC 24,
"11-19-2022 / Los Angeles, CA / Hollywood Bowl (CA14s) (smokemonster) ",AUD,FLAC 24,
,,,
[2023],,,
"4-22-2023 / Melbourne, AUS / Port Melbourne Industrial Centre for the Arts (Zoom H4n) (nausearockpig)",AUD,FLAC 24,
"4-27-2023 / Melbourne, AUS / Port Melbourne Industrial Centre for the Arts (Zoom H1n) (orson69)",AUD,FLAC 24,
,,,
[2024],,,
"6-2-2024 / Manchester, UK / O2 Apollo (SP-CMC-8) (unk)",AUD,FLAC 24,
"6-26-2024 / Paris, France / L'Olympia (CA-14s) (crazytoaster)",AUD,FLAC 24,
"8-9-2024 / Las Vegas, NV / Bleulive (SP-CMC-4U) (unk)",AUD,FLAC,
"8-15-2024 / Phoenix, AZ / Arizona Financial Theater (unk) ",AUD,FLAC,
"8-31-2024 / Hollywood, FL / Hard Rock Live (SS DSM-6SL) (chris gratz)",AUD,FLAC 24,
"9-3-2024 / Raleigh, NC / Red Hat Amphitheater (Sennheiser EK2000) (inc)",IEM,FLAC 24,
,,,
[MISC],,,
Jane's Addiction - Skin And Bones (YTH-081),Silver CD,FLAC,
,,,
[OFFICIAL RELEASES],,,
Jane's Addiction - Nothing's Shocking (1988) (24/192),,FLAC HD,
,,,
,,,
,,,
Porno for Pyros,Versions,File Type,
Drive - C,,,
,,,
,,,
[1992],,,
"9-4-1992 / New Orleans, LA / Uno Soccer Field - w/ Ice Cube *Lollapalooza '92 (KTS-117)",Silver CD,FLAC,
"9-13-1992 / Irvine, CA / Irvine Meadows - Lollapalooza - ANA(M) (unk) ",AUD,FLAC,
"11-21-1992 / Las Vegas, NV / Huntridge Theater",AUD,FLAC,
,,,
[1993],,,
"2-2-1993 / Los Angeles, CA / Crystal Studios - Studio Rehearsal Demos",SBD,FLAC,
"4-23-1993 / Phoenix, AZ / Compton Terrace (david homes master)",AUD,FLAC,
"5-29-1993 / San Francisco, CA / Warfield Theatre *Porno For Perry (KTS-189)",Silver CD,FLAC,
"6-6-1993 / Carson, CA / CSUDH Olympic Velodrome - ANA(M) (unk)",AUD,FLAC,
"6-6-1993 / Carson, CA / Olympic Velodrome - ANA(M) (unk) (ijwthstd + vibrioidxire transfer)",AUD #1,FLAC,
"6-13-1993 / Pontiac, MI / Phoenix Center - ANA(M) (Sony Cassette) (weedbuzz)",AUD,FLAC,
"6-19-1993 / New York, NY / Roseland Ballroom (Olympus ME1S) (smores)",AUD,FLAC,
"6-20-1993 / New York, NY / Roseland Ballroom (Sony D6)",AUD,FLAC,
"8-10-1993 / Miami, FL / Bayfront Amphitheatre (datfly)",AUD,FLAC,
"8-20-1993 / Pittsburgh, PA / I.C. Light Amphitheater",AUD,FLAC,
"12-10-1993 / San Francisco, CA / Concourse Exhibition Center (KITS-FM) (david p.)",FM,FLAC,
"12-12-1993 / Universal City, CA / KROQ Acoustic Xmas - ANA(M)",FM,FLAC,
"12-12-1993 / Universal City, CA / KROQ Acoustic Xmas",FM,FLAC,
,,,
[1994],,,
"8-14-1994 / Saugerties, NY / Woodstock '94 *Eccentric (IST 58)",Silver CD,FLAC,
"8-14-1994 / Saugerties, NY / Woodstock (Unofficial, CC Music, US 2018)",Silver CD,FLAC,
,,,
[1995],,,
"12-7-1995 / Fairfax, VA / The Patriot Centre - VHS(1) (master 8)",AMT #1,MKV,
"12-17-1995 / Los Angeles, CA / Universal Amphitheater",FM,FLAC,
,,,
[1996],,,
"2-4-1996 / Perth, Australia / Perth Oval - Big Day Out Festival (franger)",AUD,FLAC,
"6-18-1996 / San Francisco, CA / The Fillmore - DAT(M) (Schoeps MK4) (teddy ballgame)",AUD,FLAC,
