Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
"7-24-1999 / Rome, NY / Griffiss Air Force Base (Woodstock) - DAT-WAV",Silver CD,FLAC,
"8-3-1999 / Honolulu, HI / Neal S. Blaisdell Arena (CSB)",AUD,FLAC,
"9-13-1999 / London, England / The Astoria *Angry Rage (CSB)",Silver CD,FLAC,
"9-13-1999 / London, England / The Astoria - VHS(x) ",PRO,DVD,
"10-2-1999 / New York, NY / Roseland Ballroom (unk)",AUD,FLAC,
"10-2-1999 / New York, NY / Roseland Ballroom - DAT(M) (AT853s) (at)",AUD,FLAC,
"10-6-1999 / Toronto, Ontario / The Phoenix Concert (MKE-2002) (ms)",AUD,FLAC,
"10-10-1999 / Indio, CA / Empire Polo Grounds (Coachella Festival) *Rage Against Coachella (exene remaster)",SBD #1,FLAC,
"10-10-1999 / Indio, CA / Empire Polo Grounds (Coachella Festival) *Rage Against Coachella",SBD #2,FLAC,
"10-10-1999 / Indio, CA / Coachella (Pro-Shot) ",PRO,DVD,
"11-5-1999 / Los Angeles, CA / El Rey Theatre *The Battle of El Rey",SBD,FLAC,
"11-5-1999 / Los Angeles, CA / El Rey Theatre",FM,FLAC,
"11-5-1999 / Los Angeles, CA / El Rey Theater (WBCN Broadcast and WFNX 101.7) ",FM,FLAC,
"11-19-1999 / Oakland, CA / The Arena in Oakland",AUD,FLAC,
"11-19-1999 / Oakland, CA / The Arena in Oakland - DAT(M) (Schoeps MK4)",AUD,FLAC,
"11-26-1999 / Rosemont, IL / Allstate Arena - DAT(M) (SS DSM6s) (tapeworm48)",AUD,FLAC,
"11-27-1999 / Detroit, MI / The Palace of Auburn Hills (WW1 Broadcast)",FM,FLAC,
"11-27-1999 / Detroit, MI - Palace of Auburn Hills (Sonic Studios DSM-6L)",AUD,FLAC,
"11-29-1999 / Toronto, Ontario / Maple Leaf Garden - VHS(low)",AUD,DVD,
"11-30-1999 / Worcester, MA / The Centrum",AUD,FLAC,
"12-2-1999 / Baltimore, MD / Baltimore Arena (B&K4022) (jlizard)",AUD,FLAC,
"12-2-1999 / Baltimore, MD / Baltimore Arena - VHS(1) (Panasonic) (david)",AMT,DVD,
"12-6-1999 / Philadelphia, PA / Union Center *Machine Guns In Philly",AUD,FLAC,
"12-11-1999 / New Orleans, LA / Lakewood Arena",AUD,FLAC,
"12-19-1999 / Inglewood, CA / Great Western Forum (CSB) (ed davis)",AUD,FLAC,
"12-20-1999 / Inglewood, CA / Great Western Forum (CSB) (ed davis)",AUD,FLAC,
,,,
[2000],,,
"2-1-2000 / Rotterdam, Holland / Ahoy",AUD,FLAC,
"2-3-2000 / Paris, France / Le Zenith",AUD,FLAC,
"2-4-2000 / Dusseldorf, Germany / Philipshalle *The Battle of Dusseldorf",SBD,FLAC,
"2-10-2000 / Zurich, Switzerland / Hallenstadion (unk)",AUD,FLAC,
"2-19-2000 / Brussels, Belgium / Forrest National (Sony ECM-717)",AUD,FLAC,
"6-11-2000 / Nurburg, Germany / Rock am Ring (OKM-IIr) (tapeworm48)",AUD,FLAC,
"6-13-2000 / Tel Aviv, Israel / The Cinerama",FM,FLAC,
"6-18-2000 / Seinajoki, Finland / Provinssirock 2000 (zogter)",FM,FLAC,
"6-18-2000 / Seinjoki, Finland / Provinssirock Festival *The Battle of Finland (F.T.S. Records)",Silver CD,FLAC,
"6-28-2000 / Osaka, Japan / Osaka Castle Hall *The Coast of My Desire",AUD,FLAC,
"7-23-2000 / West Hollywood, CA / The Roxy - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC,
"8-26-2000 / Leeds, England / Temple Newsam - Leeds Festival",SBD,FLAC,
"9-12-2000 / Los Angeles, CA / Gran Olympic Auditorium - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC,
"9-13-2000 / Los Angeles, CA / Gran Olympic Auditorium - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC,
,,,
[2007],,,
"4-29-2007 / Indio, CA / Empire Polo Grounds (Coachella) (CSC) (crazyafroman)",SBD,FLAC 24,
"4-29-2007 / Indio, CA / Empire Polo Grounds (Coachella) *The Battle of Coachella",SBD,FLAC,
"4-29-2007 / Indio, CA / Empire Polo Grounds (Coachella) (CSC) (crazyafroman) 16bit",SBD,FLAC,
"4-29-2007 / Indio, CA / Empire Polo Grounds (Coachella) (CSB) (zepdog5)",AUD,FLAC,
"7-28-2007 / Randalls Island, NY / Randall's Island Park - Rock The Bells (unk)",AUD,FLAC,
"7-28-2007 / New York, NY / Randalls Island - Rock the Bells Festival (JVC SZMG21u) (david dawson)",AUD,DVD,
"8-18-2007 / San Francisco, CA / McCovey Cove Parking Lot (Sony MD) (tom leykis)",AUD,FLAC,
"8-24-2007 / East Troy, WI / Alpine Valley Music Theatre (Schoeps MK4s) (tapeworm48) ",AUD,FLAC 24,
"10-26-2007 / New Orleans, LA / City Park - Voodoo Music Experience 2007 - WAV(M) (AKG CK93) (cabbage)",AUD,FLAC,
"10-28-2007 / Las Vegas, NV / Double Down Stage - Vegoose Festival (MM-HLSC-1) (sin213)",AUD,FLAC,
,,,
[2008],,,
"1-18-2008 / Auckland, NZ / Mt. Smart Stadium - Big Day Out (ECM-717)",AUD,FLAC,
"1-28-2008 / Melbourne, Australia / Fleming Racecourse - Big Day Out Festival (CA-STC-11) (chris jacques)",AUD,FLAC,
"2-9-2008 / Tokyo, Japan / Makuhari Messe *Now Action Must Be Taken",Silver CD,FLAC,
"2-10-2008 / Tokyo, Japan / Makuhari Messe *Now Action Must Be Taken",Silver CD,FLAC,
"2-10-2008 / Chiba, Japan / Makuhari Messe *Wake Up Messe",AUD,FLAC,
