Local H,Versions,File Type
"10-27-2006 / Chicago, IL / The Double Door (MK4) (tapeworm48)",AUD,FLAC
"10-27-2006 / Chicago, IL / The Double Door (CSB) (ryan teske)",AUD,FLAC
"10-28-2006 / Chicago, IL / The Double Door (DPA 4061) (tapeworm48)",AUD,FLAC
"10-31-2006 / Taylor, MI / The Trolley Shop (DPA 4060) (live2cd)",AUD,FLAC
"11-2-2006 / Bowling Green, OH / Howard's Club H (DPA 4060) (live2cd)",AUD,FLAC
"11-4-2006 / Libertyville, IL / Austin's - WAV(M) (SP-CMS-19) (j. weiss)",AUD,FLAC
"12-31-2006 / Schaumburg, IL / Chicago City Limits (DPA 4060 + SP-BMC-3) (live2cd + sydney alamy)",MIX,FLAC
,,
[2007],,
"4-15-2007 / Chicago, IL / The Double Door - WAV(M) (AT U853s) (john weiss)",AUD,FLAC
"4-18-2007 / Milwaukee, WI / Miramar Theatre - WAV(M) (AT U853s) (john weiss)",AUD,FLAC
"6-6-2007 / Waukesha, WI / A Taste of Summer - WAV(M) (AT U853s) (john weiss)",AUD,FLAC
"9-12-2007 / Columbus, OH / Newport Music Hall (DPA 4060) (live2cd)",AUD,FLAC
"9-13-2007 / Philadelphia, PA / Khyber (AKG ck93) (cabbage)",AUD,FLAC
"9-16-2007 / Lancaster, PA / Chameleon Club (AKG cd93) (cabbage)",AUD,FLAC
"9-22-2007 / Glendale Heights, IL / Shark City - WAV(M) (AT U853s) (john weiss)",AUD,FLAC
"11-24-2007 / Schaumburg, IL / Chicago City Limits - WAV(M) (AT U853s) (john weiss)",AUD,FLAC
"12-31-2007 / Chicago, IL / Subterranean (DPA 4060) (live2cd)",AUD,FLAC
,,
[2008],,
"3-14-2008 / West Dundee, IL / Clearwater Theater - WAV(M) (Peluso CEMC-6) (john weiss)",AUD,FLAC
"5-7-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonaiuto)",AUD,FLAC
"5-8-2008 / Chicago, IL / The Beat Kitchen (AKG CK93) (cabbage)",AUD,FLAC
"5-8-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonauito)",AUD,FLAC
"5-9-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonauito)",AUD,FLAC
