Weezer,Versions,File Type,
"9-12-2009 / Wheatland, CA / Sleep Train Amphitheatre",SBD,FLAC,Official Bootleg
"9-16-2009 / Chula Vista, CA / Cricket Wireless Amphitheatre",SBD,FLAC,Official Bootleg
"9-17-2009 / Irvine, CA / Verizon Wireless Amphitheatre",SBD,FLAC,Official Bootleg
"10-24-2009 / Los Angeles, CA / Hollywood Palladium",SBD,FLAC,Official Bootleg
"12-1-2009 / Chicago, IL / Aragon Ballroom",SBD,FLAC,Official Bootleg
"12-3-2009 / Milwaukee, WI / Eagle's Ballroom",SBD,FLAC,Official Bootleg
"12-5-2009 / Toronto, Ontario / Air Canada Centre",SBD,FLAC,Official Bootleg
,,,
[2010],,,
"1-20-2010 / Tallahassee, FL / Tallahassee-Leon City Civic Center",SBD,FLAC,Official Bootleg
"4-30-2010 / College Park, MD / Byrd Stadium - University of Maryland Art Attack XVIII (,(CA-14s) travelinbeat)",AUD,FLAC,
"5-2-2010 / East Rutherford, NJ / Bamboozle (unk) (mark suffolk) ",AMT,DVD,
"6-12-2010 / Manchester, TN / Bonnaroo Music & Arts Festival - Which Stage (Avantone CK1) (willsfc)",AUD,FLAC,
"7-18-2010 / Ottawa, Canada / LeBreton Flats - MBNA Stage (Ottawa Bluesfest) (Zoom H2) (bootlegottawa)",AUD,FLAC,
"8-29-2010 / Reading, UK / Richfield Avenue - Reading Festival",SBD,FLAC,
"9-5-2010 / Seattle, WA / Bumbershoot Festival (unk) (mark suffolk)",AMT,DVD,
"11-26-2010 / Los Angeles, CA / Gibson Amphitheatre (unk)",AUD,FLAC,
"11-27-2010 / Los Angeles, CA / Gibson Amphitheatre (Sonics) (jb)",AUD,FLAC,
"12-17-2010 / New York, NY / Roseland Ballroom (Night 1) (Blue Album)",SBD,FLAC,Official Bootleg
"12-18-2010 / New York, NY / Roseland Ballroom (Night 2) (Pinkerton Album)",SBD,FLAC,Official Bootleg
,,,
[2011],,,
"1-7-2011 / Chicago, IL / Aragon Ballroom",SBD,FLAC,Official Bootleg
"1-8-2011 / Chicago, IL / Aragon Ballroom",SBD,FLAC,Official Bootleg
"1-21-2011 / Las Vegas, NV / The Joint at Hard Rock Hotel",SBD,FLAC,Official Bootleg
"6-6-2011 / Austin, TX / Stubb's BBQ",SBD,FLAC,Official Bootleg
"6-7-2011 / Austin, TX / Stubb's BBQ",SBD,FLAC,Official Bootleg
"7-1-2011 / Toronto, Ontario / Downsview Park",SBD,FLAC,Official Bootleg
"7-13-2011 / Tokyo, Japan / Zepp Tokyo",SBD,FLAC,Official Bootleg
"7-16-2011 / Yokohama, Japan / Yokohama Stadium",SBD,FLAC,Official Bootleg
"8-4-2011 / Costa Mesa, CA / Pacific Amphitheatre",SBD,FLAC,Official Bootleg
"8-5-2011 / Las Vegas, NV / Red Rock Hotel and Casino",SBD,FLAC,Official Bootleg
"8-6-2011 / Del Mar, CA / Del Mar Fairgrounds",SBD,FLAC,Official Bootleg
"8-19-2011 / Seattle, WA / WaMu Theater",SBD,FLAC,Official Bootleg
"9-11-2011 / Dana Point, CA / Doheny State Beach",SBD,FLAC,Official Bootleg
"10-4-2011 / Los Angeles, CA / LA Convention Center",SBD,FLAC,Official Bootleg
"10-8-2011 / Thackerville, OK / WinStar World Resort",SBD,FLAC,Official Bootleg
"10-9-2011 / Chicago, IL / Congress Theater - Riot Fest 2011",SBD,FLAC,Official Bootleg
"10-14-2011 / Pensacola, FL / Casino Beach",SBD,FLAC,Official Bootleg
,,,
[2012],,,
"1-19-2012 / Miami, FL / Carnival Destiny - Weezer Cruise",SBD,FLAC,Official Bootleg
"1-20-2012 / Miami, FL / Carnival Destiny - Weezer Cruise",SBD,FLAC,Official Bootleg
"1-21-2012 / Miami, FL / Carnival Destiny - Weezer Cruise",SBD,FLAC,Official Bootleg
"6-1-2012 / Atlantic City, NJ / Borgata Events Center",SBD,FLAC,Official Bootleg
"7-27-2012 / Hammond, IN / The Horseshoe Casino",SBD,FLAC,Official Bootleg
"7-29-2012 / Council Bluffs, IA / Harrah's Stir Cove",SBD,FLAC,Official Bootleg
"9-14-2012 / Orillia, Ontario / Casino Rama",SBD,FLAC,Official Bootleg
"9-15-2012 / Baltimore, MD / Harbor East Waterfront",SBD,FLAC,Official Bootleg
"9-29-2012 / Newark, DE / Christiana Mall",SBD,FLAC,Official Bootleg
"10-9-2012 / San Francisco, CA / Bill Graham Civic Auditorium",SBD,FLAC,Official Bootleg
"10-10-2012 / Fresno, CA / Paul Paul Theater",SBD,FLAC,Official Bootleg
"10-12-2012 / Austin, TX / Paul Paul Theater",SBD,FLAC,Official Bootleg
"10-13-2012 / Valley Center, CA / Harrah's Rincon Casino",SBD,FLAC,Official Bootleg
"11-9-2012 / St. Petersburg, FL / Mahaffey Theater",SBD,FLAC,Official Bootleg
