Metallica,Versions,File Type,
"8-27-1991 / Berlin, Germany / Waldbuhne Amphitheatre (unk)",AUD,FLAC,
"8-30-1991 / Hasselt, Belgium / Hasselt Airfield (Aiwa CM30a) (stephane)",AUD,FLAC,
"8-31-1991 / Hannover, Germany / Niedersachsenstadion (unk) (jeff s.)",AUD,FLAC,
"9-7-1991 / Mainz, Germany / Air Base (unk)",AUD,FLAC,
"9-11-1991 / Graz, Austria / Liebenau (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"9-14-1991 / Modena, Italy / Modena Arena (koondog)",AUD,FLAC,
"9-17-1991 / Dortmund, Germany / Westfallenhalle (1st night) (Sony WMD3) (stephane)",AUD,FLAC,
"9-18-1991 / Dortmund, Germany / Westfallenhalle (2nd night) *Welcome Home (GLR 9228)",Silver CD,FLAC,
"9-21-1991 / Paris, France / Hippodrome de Vincennes (Sony D7) (stephane)",AUD,FLAC 24,
"9-28-1991 / Moscow, U.S.S.R. / Tushino Air Field *Monsters of Rock - Russia '91",SBD,FLAC,
"10-12-1991 / Oakland, CA / Oakland-Alameda Stadium (hail_ozzy)",AUD,FLAC,
"10-30-1991 / Madison, WI / Dane County Arena (unk) (jeff s.)",AUD,FLAC,
"11-1-1991 / Muskegon, MI / L.C. Walker Arena (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"11-2-1991 / Auburn Hills, MI / Palace - Motorcity Madness (unk)",AUD,FLAC,
"11-3-1991 / Detroit, MI / The Palace of Auburn Hills ",SBD,FLAC,
"11-3-1991 / Detroit, MI / The Palace of Auburn Hills (Sony DX2-13) (dave jr. master)",SBD,FLAC,
"11-3-1991 / Auburn Hills, MI / Palace of Auburn Hills (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"11-5-1991 / Milwaukee, WI / Bradley Center (jeff s. transfer)",AUD,FLAC,
"11-10-1991 / Cedar Rapids, IA / Five Seasons Center (unk) (jeff s.)",AUD,FLAC,
"11-12-1991 / Green Bay, WI / Brown County Arena (unk) (belexes)",AUD,FLAC,
"11-14-1991 / Toronto, ON / Maple Leaf Gardens - ANA(x) ( jeff s. transfer)",AUD,FLAC,
"11-19-1991 / Quebec City, PQ / Colis?e de Qu?bec (jeff s. transfer)",AUD,FLAC,
"11-22-1991 / Indianapolis, IN / Market Square Arena (Sony D3 DATman) (the govner)",AUD,FLAC,
"11-24-1991 / St Louis, MO / St. Louis Arena (unk)",AUD,FLAC,
"11-28-1991 / Kansas City, MO / Kemper Arena (jeff s. transfer)",AUD,FLAC,
"12-1-1991 / Cleveland, OH / Richfield Coliseum (Live Metallica Vault) ",SBD,FLAC HD,Official Bootleg
"12-5-1991 / Chicago, IL / Horizon (unk) (jeff s.)",AUD,FLAC,
"12-6-1991 / Chicago, IL / Horizon (unk) (jeff s.)",AUD,FLAC,
"12-18-1991 / Uniondale, NY / Nassau Coliseum (koondog)",AUD,FLAC,
"12-22-1991 / Worcester, MA / Centrum in Worcester (jeff s. transfer)",AUD,FLAC,
,,,
[1992],,,
"1-4-1992 / Las Vegas, NV / Thomas Mack Center (Aiwa CM30a) (dennis fuller)",AUD,FLAC 24,
"1-7-1992 / Inglewood, CA / L.A. Forum (1st night) (Aiwa CM30a) (dennis fuller)",AUD,FLAC 24,
"1-8-1992 / Inglewood, CA / L.A. Forum (2nd night) (Aiwa CM30a) (karl lundmark)",AUD,FLAC 24,
"1-10-1992 / Sacramento, CA / Arco Arena (1st night) (Aiwa CM30a) (karl lundmark)",AUD,FLAC 24,
"1-11-1992 / Sacramento, CA / Arco Arena (2nd night) *Live In Concert",SBD,FLAC 24,
