Red Hot Chili Peppers,Versions,File Type,
"10-2-1999 / Santiago, Chile / Estacion Mapocho (unk)",SBD #1,FLAC,
"10-3-1999 / Santiago, Chile / Estacion Mapocho",SBD #1,FLAC,
"10-5-1999 / Bueonos Aires, Argentina / Luna Park - FM>ANA(M)",SBD #1b,FLAC,
"10-6-1999 / Buenos Aires, Argentina / Luna Park Stadium *Argenfornication (FR-62568-2)",Silver CD,FLAC,
"10-8-1999 / Sao Paulo, Brazil / Credicard Hall (unk) (jahrastafari)",SBD  ,FLAC,
"10-29-1999 / Helsinki, Finland / Hartwall Arena",AUD #1,FLAC,
"10-30-1999 / Helsinki, Finland / Hartwall Arena",AUD #1,FLAC,
"11-1-1999 / Oslo, Norway / Spektrum",AUD #1,FLAC,
"11-10-1999 / Den Haag, The Netherlands / Statenhal",AUD #1,FLAC,
"11-11-1999 / Boblingen, Germany / Sporthalle - DAT(M) (SP-BMC-1) (unk)",AUD  ,FLAC,
"11-13-1999 / Zurich, Switzerland / Hallenstadion - MD(x) (unk)",AUD #1,FLAC,
"11-16-1999 / Paris, France / Palais Omnisport de Paris Bercy - MD(M) (poisoned) ",AUD #1,FLAC,
"11-18-1999 / Bordeaux, France / Patinoire de Meriadeck - ANA(x) (unk)",AUD #1,FLAC,
"11-19-1999 / Barcelona, Spain / Olimpic de Badalona",AUD #1,FLAC,
"11-21-1999 / Madrid, Spain / La Cubierta Bullring (unk)",AUD #1,FLAC,
"12-26-1999 / San Diego, CA / Cox Arena",AUD #1,FLAC,
"12-28-1999 / Daly City, CA / Cow Palace (unk)",AUD #1,FLAC,
"12-29-1999 / Sacramento, CA / Arco Arena - ANA(x)",AUD #1,FLAC,
"12-29-1999 / Sacramento, CA / Arco Arena (ECM-MS-907) (big d.)",AUD,FLAC,
"12-31-1999 / Inglewood, CA / Great Western Forum (Schoeps MK4s) (unk)",AUD #1,FLAC,
,,,
[2000],,,
"1-8-2000 / Tokyo, Japan / Budokan - DAT(M) (SS DSM-6S/M) (hideki takada)",AUD #1,FLAC,
"1-8-2000 / Tokyo, Japan / Nippon Budokan - VHS(x) (unk) (rozy) ",AMT #1,DVD,
"1-9-2000 / Tokyo, Japan / Budokan (boywiththeblues)",SBD  ,FLAC,
"1-11-2000 / Tokyo, Japan / Nippon Budokan",AUD,FLAC,
"1-13-2000 / Yokohama, Japan / Pacifico Yokohama",AUD,FLAC,
"1-14-2000 / Osaka, Japan / Castle Hall *Japanication Vol. 3",AUD,FLAC,
"1-21-2000 / Auckland, NZ / Ericsson Stadium - Big Day Out Festival (SP-CMC-6) (gareth gowan)",AUD #1,FLAC,
"1-24-2000 / Brisbane, Australia / Entertainment Centre - MD(x)",AUD #1,FLAC,
"1-26-2000 / Sydney, Australia / RAS Showgrounds - ANA(1) (unk)",AUD,FLAC,
"1-30-2000 / Melbourne, Australia / RAS Showgrounds - Big Day Out Festival",SBD #1,FLAC,
"2-1-2000 / Melbourne, Australia / Entertainment Centre - MD(x) ",AUD #1,FLAC,
"2-2-2000 / Melbourne, AU / Big Day Out",SBD,FLAC,Official Bootleg
"2-4-2000 / Adelaide, Australia / RAS Showgrounds - Big Day Out Festival",AUD #1,FLAC,
"3-24-2000 / Minneapolis, MN / Target Center (CSBmod) (pjp)",AUD,FLAC,
"3-25-2000 / Madison, WI / Dane County Expo Center (Shure SM-98) (unk)",AUD #1,FLAC,
"3-27-2000 / Carbondale, IL / SIU Arena - ANA(M) (Generic mic) (unk)",AUD #1,FLAC,
