Miles Davis,Versions,File Type
"6-16-1984 /  London, ENG / Royal Festival Hall ",FM,FLAC
"7-6-1984 / Terni, Italy / Piazza Europa - RAI-TV *Umbria Jazz '84",TV,FLAC
"7-27-1984 / Molde, Norway / Idrettens Hus",FM,FLAC
,,
[1985],,
"11-1-1985 / West Berlin, Germany / Philharmonie (Jazzfest Berlin '85)",SBD,FLAC
"11-2-1985 / Zurich, Switzerland",SBD,FLAC
,,
[1986],,
"8-30-1986 / Baltimore, MD / Pier 6 Pavilion",SBD,FLAC
"11-6-1986 / Asturias, Spain / Tatro Campoamore de Oviedo",SBD,FLAC
,,
[1987],,
"7-1-1987 / Lugano, Switzerland / Centro delle Esposizioni",SBD,FLAC
"9-25-1987 / Long Island, NY / Westbury Music Fair",SBD,FLAC
,,
[1989],,
"11-4-1989 / Milano, Italy / Theatro Orfeo",Silver CD,SHN
,,
[1991],,
"7-10-1991 / Paris, France / La Grande Halle de la Villette",FM,FLAC
,,
[MISC],,
Miles Davis - Making Kind of Blue (Columbia 30th Street Studio - New York),Studio,SHN
Miles Davis - Deep Brew Vol. 1&2,,FLAC
Miles Davis - 1960 Stockholm Complete (6CD Boxset),,FLAC
Miles Davis - Transmission Impossible (1967-1985),Silver CD,FLAC
