Tool,Versions,File Type,
Drive - D,,,
,,,
,,,
[1991],,,
"10-10-1999 / Indio, CA / Empire Polo Club (Coachella) (CSB) (arizona_bay)",AUD,FLAC,
"10-10-1999 / Indio, CA / Empire Polo Club (Coachella) (SS-DSM-6S) (steve hagar)",AUD,FLAC,
,,,
[2001],,,
"5-15-2001 / Atlanta, GA / The Tabernacle - DAT(M) (SPC) (econeywaaa)",AUD,FLAC,
"5-15-2001 / Atlanta, GA / The Tabernacle (SS-DSM-6S/L)",AUD,FLAC,
"5-15-2001 / Atlanta, GA / The Tabernacle (SPS) (chrisbrightwell)",AUD,FLAC,
"5-15-2001 / Atlanta, GA / The Tabernacle - DAT(0) (Sony ECM-MS907) (james castle)",AUD,FLAC,
"5-15-2001 / Atlanta, GA / The Tabernacle - DAT(M) (Sony ECM-MS907) (james castle)",AUD,FLAC,
"5-15-2001 / Atlanta, GA / The Tabernacle - DAT(M) (SS DSM6s/L) (wt)",AUD,FLAC,
"5-17-2001 / Chicago, IL / Riviera Theater (CSB/120) (henryj)",AUD,FLAC,
"5-18-2001 / Detroit, MI / State Theater (Neumann K84) (unk)",AUD,FLAC,
"5-18-2001 / Detroit, MI / State Theater - MD(M) (RadioShack lavs) (galen)",AUD,FLAC,
"5-20-2001 / New York, NY / Hammerstein Ballroom (unk vid source)",AUD,FLAC,
"5-20-2001 / New York, NY / Hammerstein Ballroom - DAT(M) (CSB) (econeywaaa)",AUD,FLAC,
