R.E.M.,Versions,,,File Type,
"10-27-1985 / Birmingham, UK / Powerhouse",AUD,2 sources,,FLAC,
"10-28-1985 / London, UK / Hammersmith Palais Ballroom",AUD,,,FLAC,
"10-28-1985 / London, U.K / Hammersmith Palais (JEMS Master & 2021 transfer and remaster) (Sony ECM 939)",AUD,,,FLAC,
"10-29-1985 / London, UK / Hammersmith Palais Ballroom",SBD,2 sources,,FLAC,
"11-2-1985 / Boulder, CO / C.U. Events Center - University of Colorado at Boulder",AUD,,,FLAC,
"11-3-1985 / Laramie, WY / Arts And Sciences Auditorium - University Of Wyoming (Jeff Ferro Upgrade Series Vol. 3)",AUD,,,FLAC,
"11-9-1985 / New York, NY / Beacon Theatre",AUD,,,FLAC,
"11-19-1985 / New Orleans, LA / Saenger Theatre",AUD,,,FLAC,
"11-26-1985 / St. Petersburg, FL / Bayfront Theater",AUD,,,FLAC,
"11-29-1985 / Atlanta, GA / Fox Theatre (unk) ",AUD,,,FLAC,
"11-30-1985 / Atlanta, GA / Fox Theater",AUD,,,FLAC,
"12-2-1985 / Raleigh, NC / Civic Center ",AUD,,,FLAC,
"12-5-1985 / Richmond, VA / The Mosque",AUD,,,FLAC,
"12-6-1985 / Lexington, VA / Washington and Lee University",AUD,,,FLAC,
"12-8-1985 / Winston-Salem, NC / Reynolds Auditorium",AUD,,,FLAC,
"12-8-1985 / Winston-Salem, NC / R.J. Reynolds Memorial Auditorium - Richard J. Reynolds High School (eckythump 2021 remaster)",AUD,,,FLAC,
"12-10-1985 / Columbus, OH / Auditorium, Franklin County Veterans Memorial (eckythump 2021 remaster)",AUD,,,FLAC,
"12-13-1985 / Charlotte, NC / Park Center",AUD,,,FLAC,
,,,,,
[1986],,,,,
"1-20-1986 / Athens, GA / 40 Watt Club",SBD,,,FLAC,
"1-20-1986 / Athens, GA / 40 Watt Club",,,,FLAC,
"9-5-1986 / Birmingham, AL / Oak Mountain Amphitheater",AUD,,,FLAC,
"9-6-1986 / Bloomington, IN - Indiana University Auditorium, Indiana University (2020 remaster)",AUD,,,FLAC,
"9-6-1986 / Bloomington, IN / Indiana University (Jeff Ferro Upgrade Series Vol. 4) (2021 remaster)",AUD,,,FLAC,
"9-8-1986 / Louisville, KY / Louisville Memorial Auditorium",AUD,,,FLAC,
"9-10-1986 / Nashville, TN / Grand Ole Opry House",AUD,,,FLAC,
"9-12-1986 / New Orleans, LA / Saenger Theatre",AUD,,,FLAC,
"9-13-1986 / Memphis, TN / Mud Island Amphitheatre",AUD,,,FLAC,
"9-20-1986 / Dallas, TX / Fair Park Bandshell",AUD,,,FLAC,
"9-27-1986 / Santa Barbara, CA / County Bowl - ANA(M) (ECM-939) (jems)",AUD,,,FLAC,
"9-30-1986 / Los Angeles, CA / Universal Amphitheater",AUD,,,FLAC,
"10-1-1986 / Oakland, CA / Oakland-Alameda County Coliseum Arena",AUD,,,FLAC,
"10-2-1986 / Eugene, OR / University of Oregon - EMU Ballroom",AUD,,,FLAC,
"10-3-1986 / Portland, OR / Civic Auditorium (includes Soundcheck)",AUD,,,FLAC,
"10-4-1986 / Seattle, WA / Dream of Seattle - Paramount Theatre",AUD,,,FLAC,
"10-5-1986 / Vancouver, BC / University of British Columbia - War Memorial Gymnasium",AUD,,,FLAC,
"10-9-1986 / Boulder, CO / C.U. Events Center - University of Colorado at Boulder",AUD,,,FLAC,
"10-10-1986 / Lincoln, NE / Pershing Auditorium",AUD,,,FLAC,
"10-11-1986 / Kansas City, MO / Soldiers and Sailors Memorial Auditorium",AUD #2,,,FLAC,
"10-12-1986 / St. Louis, MO / Kiel Opera House",AUD,,,FLAC,
"10-14-1986 / St. Paul, MN / Roy Wilkins Auditorium (mr. smith)",AUD,,,FLAC,
"10-14-1986 / St. Paul, MN / Roy Wilkins Auditorium (unk)",AUD,,,FLAC,
"10-15-1986 / Iowa City, IA / Hancher Auditorium",AUD,,,FLAC,
"10-17-1986 / Milwaukee, WI / Oriental Theatre",AUD,,,FLAC,
"10-19-1986 / Chicago, IL / UIC Pavilion - University of IL at Chicago",AUD,,,FLAC,
"10-21-1986 / Dekalb, IL / Chick Evans Fieldhouse - Northern IL University",AUD,,,FLAC,
"10-24-1986 / Pittsburgh, PA / Syria Mosque",AUD,,,FLAC,
"10-26-1986 / Buffalo, NY / Sheas Theater",AUD,,,FLAC,
"10-27-1986 / Toronto, Ontario / Massey Hall",AUD,,,FLAC,
"10-29-1986 / Montreal, Canada / Maurice Richard Arena",AUD,,,FLAC,
"10-29-1986 / Montreal, Canada / Maurice Richard Arena (stevemtl upgrade)",AUD,,,FLAC,
"10-31-1986 / Burlington, VT / Patrick Gymnasium - Roy L. Patrick Memorial Gym (JEMS transfer)",AUD,,,FLAC,
"10-31-1986 / Burlington, VT / Patrick Gymnasium",AUD #2,,,FLAC,
"11-1-1986 / Boston, MA / Wang Center (incomplete)",AUD,,,FLAC,
"11-2-1986 / Boston, MA / Wang Center (ECM-111) (unk)",AUD,,,FLAC,
"11-4-1986 / Portland, ME / Cumberland County Civic Center",AUD,,,FLAC,
"11-6-1986 / New York, NY / The Felt Forum",AUD,,,FLAC,
"11-6-1986 / New York, NY / The Felt Forum",AUD #2,,,FLAC,
"11-7-1986 / New York, NY / Felt Forum",AUD,,,FLAC,
"11-8-1986 / New Haven, CT / Coliseum",AUD,,,FLAC,
"11-12-1986 / Washington, D.C / Charles E. Smith Center, The George Washington University (eckythump 2021 remaster)",AUD,,,FLAC,
"11-14-1986 / Williamsburg, VA / William & Mary Hall",AUD,,,FLAC,
"11-16-1986 / Wilmington, NC / Trask Auditorium",AUD,,,FLAC,
"11-20-1986 / Jacksonville, FL / Civic Auditorium",AUD,,,FLAC,
"11-21-1986 / St. Petersburg, FL / Bayfront Center",AUD,,,FLAC,
"11-22-1986 / Miami, FL / James L. Knight Center",AUD,,,FLAC,
"11-24-1986 / Atlanta, GA / Fox Theatre",AUD,,,FLAC,
"11-25-1986 / Atlanta, GA / Fox Theatee",AUD,,,FLAC,
,,,,,
[1987],,,,,
"2-20-1987 / Athens, GA / 40 Watt Club (inc)",SBD,,,FLAC,
"5-24-1987 / Santa Monica, CA / McCabe's Guitar Shop",AUD,,,FLAC,
"8-19-1987 / Athens, GA / 40 Watt Club",AUD #1,,,FLAC,
"8-19-1987 / Athens, GA / 40 Watt Club",SBD,,,FLAC,
"9-3-1987 / Athens, GA / 40 Watt Club",AUD #1,,,FLAC,
"9-12-1987 / London, UK / Hammersmith Odeon",AUD,,,FLAC,
"9-14-1987/ Utrecht, Holland / Muziekcentrum *Red Rain",Silver CD,,,FLAC,
"9-16-1987 / Paris, France / La Cigale",AUD,,,FLAC,
"9-18-1987 / Dusseldorf, Germany / Tor 3",AUD,,,FLAC,
"10-2-1987 / Clemson, SC / Littlejohn Coliseum - Clemson University",AUD,,,FLAC,
"10-6-1987 / New York, NY / Radio City Music Hall",AUD,,,FLAC,
"10-6-1987 / New York, NY / Radio City Music Hall (jems transfer)",SBD,,,FLAC,
"10-7-1987 / New York, NY / Radio City Music Hall",AUD,,,FLAC,
"10-10-1987 / Fairfax, VA / Patriot Center - George Mason University",AUD,,,FLAC,
"10-10-1987 / Fairfax, VA / Patriot Center - George Mason University",,,,FLAC,
"10-10-1987 / Fairfax, VA / Patriot Center - George Mason University",,,,FLAC,
