Smashing Pumpkins,Versions,File Type,
"10-19-1993 / San Francisco, CA / Warfield Theatre - ANA(x) (chuck drost)",AUD,FLAC,
"10-19-1993 / San Francisco, CA / Warfield Theatre - ANA(4) (complete) (steve hagar)",AUD,FLAC,
"10-20-1993 / Hollywood, CA / Press Conference",Broadcast,FLAC,
"10-21-1993 / Hollywood, CA / Palladium (D3 Master)",AUD,FLAC,
"10-21-1993 / Hollywood, CA / Palladium - ANA(2) (PC-62)",AUD,FLAC,
"10-21-1993 / Hollywood, CA / Palladium - ANA(1) (PC-62)",AUD,FLAC,
"10-22-1993 / Hollywood, CA / Palladium - ANA(1) (ECM-909)",AUD,FLAC,
"10-22-1993 / Hollywood, CA / Palladium - ANA(x) (unk)",AUD,SHN,
"10-23-1993 / Santa Barbera, CA / UCSB Robertson Gym - ANA(1) (ECM-909)",AUD,SHN,
"10-25-1993 / Phoenix, AZ / Grind  - ANA(x) (chuck drost)",AUD,FLAC,
"10-26-1993 / Del Mar, CA / Del Mar Fairgrounds (Promos)",preFM,FLAC,
"10-26-1993 / Del Mar, CA / Del Mar Fairgrounds (Promos) (fixed)",preFM,FLAC,
"10-26-1993 / Del Mar, CA / Del Mar Fairgrounds (thir13en remaster)",preFM,FLAC,
"10-26-1993 / Del Mar, CA / Del Mar Fairgrounds (thir13en remaster version 2)",preFM,FLAC,
"10-28-1993 / New York, NY / Rockefeller Center (Studio 8-H) (Rip from DVD)",PRO,FLAC,
"10-28-1993 / New York, NY / Rockefeller Center - SNL Rehearsals (unk transfer)",PRO,DVD,
"10-30-1993 / New York, NY / Saturday Night Live - Beta(M) (unk)",PRO #1,FLAC,
"10-30-1993 / New York, NY / Saturday Night Live - Beta(M) (unk)",PRO,DVD,
"11-2-1993 / Austin, TX / Liberty Lunch - ANA(x) (unk)",AUD,FLAC,
"11-18-1993 / Raleigh, NC / Ritz Theater - ANA(x) (unk)",AUD,FLAC,
"11-20-1993 / Washington, D.C. / WUST Music Hall - ANA(3) (unk)",AUD,FLAC,
"11-20-1993 / Washington, D.C. / WUST Music Hall - VHS(x)",AUD,FLAC,
"11-20-1993 / Washington, D.C. / WUST Music Hall - VHS(x) (onerok author)",AUD,DVD,
