Nine Inch Nails,Versions,File Type
"1-15-2000 / Osaka, Japan / Castle Hall - DAT(M) (SS DSM6s) (sk)",AUD,FLAC
"1-21-2000 / Auckland, NZ / Ericsson Stadium - Big Day Out (Sony T) (karl rice)",AUD,FLAC
"1-21-2000 / Auckland, NZ / Ericsson Stadium - Big Day Out (unk)",AUD,FLAC
"1-23-2000 / Gold Coast, Australia / Parklands - Big Day Out - VHS(3) (PRO)",TV,DVD
"1-26-2000 / Sydney, Australia / RAS Showgrounds - Big Day Out Festival",SBD,FLAC
"1-30-2000 / Melbourne, Australia / RAS Showgrounds - Big Day Out (unk)",Webcast,MP3
"2-4-2000 / Adelaide, Australia / RAS and HS Showgrounds - Big Day Out (unk)",AUD,MP3
"4-3-2000 / Los Angeles, CA / Olympic Auditorium (PC62) (gd)",AUD,FLAC
"4-12-2000 / Cleveland, OH / CSU Convocation Center (ECM717) (fullmetal)",AUD,FLAC
"4-12-2000 / Cleveland, OH / CSU Convocation Center (unk)",AUD,FLAC
"4-14-2000 / Auburn Hills, MI / The Palace of Auburn Hills (unk)",AUD,FLAC
